engineer,prs_opened,prs_closed,pr_comments,prs_merged,issues_opened,issues_closed,prs_merged_norm,prs_closed_norm,issues_closed_norm,prs_opened_norm,issues_opened_norm,pr_comments_norm,impact_score,rank
ksvat,52.0,49.0,150.0,42.0,0.0,0.0,0.22826086956521738,0.22790697674418606,0.0,0.21666666666666667,0.0,0.1595744680851064,0.1665,49
TueHaulund,49.0,48.0,87.0,43.0,0.0,0.0,0.23369565217391305,0.22325581395348837,0.0,0.20416666666666666,0.0,0.0925531914893617,0.1637,50
posthog-bot,55.0,59.0,64.0,39.0,0.0,0.0,0.21195652173913043,0.2744186046511628,0.0,0.22916666666666666,0.0,0.06808510638297872,0.1629,51
rossgray,43.0,42.0,34.0,41.0,1.0,2.0,0.22282608695652173,0.19534883720930232,0.06060606060606061,0.17916666666666667,0.022222222222222223,0.036170212765957444,0.1606,52
a-lider,53.0,48.0,135.0,38.0,0.0,0.0,0.20652173913043478,0.22325581395348837,0.0,0.22083333333333333,0.0,0.14361702127659576,0.1557,53
hpouillot,46.0,45.0,70.0,41.0,0.0,0.0,0.22282608695652173,0.20930232558139536,0.0,0.19166666666666668,0.0,0.07446808510638298,0.1546,54
scheduled-actions-posthog[bot],46.0,45.0,19.0,42.0,0.0,0.0,0.22826086956521738,0.20930232558139536,0.0,0.19166666666666668,0.0,0.02021276595744681,0.1543,55
sampennington,52.0,48.0,104.0,38.0,0.0,0.0,0.20652173913043478,0.22325581395348837,0.0,0.21666666666666667,0.0,0.11063829787234042,0.1536,56
carlos-marchal-ph,41.0,41.0,61.0,40.0,1.0,1.0,0.21739130434782608,0.19069767441860466,0.030303030303030304,0.17083333333333334,0.022222222222222223,0.06489361702127659,0.1535,57
andyzzhao,43.0,42.0,45.0,34.0,3.0,3.0,0.18478260869565216,0.19534883720930232,0.09090909090909091,0.17916666666666667,0.06666666666666667,0.047872340425531915,0.1531,58
benjackwhite,39.0,50.0,112.0,33.0,0.0,3.0,0.1793478260869565,0.23255813953488372,0.09090909090909091,0.1625,0.0,0.11914893617021277,0.1514,59
Radu-Raicea,43.0,41.0,82.0,39.0,2.0,0.0,0.21195652173913043,0.19069767441860466,0.0,0.17916666666666667,0.044444444444444446,0.08723404255319149,0.1507,60
oliverb123,48.0,49.0,94.0,35.0,0.0,1.0,0.19021739130434784,0.22790697674418606,0.030303030303030304,0.2,0.0,0.1,0.1493,61
gesh,24.0,26.0,64.0,25.0,11.0,7.0,0.1358695652173913,0.12093023255813953,0.21212121212121213,0.1,0.24444444444444444,0.06808510638297872,0.1489,62
fasyy612,44.0,42.0,118.0,37.0,0.0,0.0,0.20108695652173914,0.19534883720930232,0.0,0.18333333333333332,0.0,0.125531914893617,0.1444,63
odin-posthog,43.0,42.0,64.0,31.0,3.0,1.0,0.16847826086956522,0.19534883720930232,0.030303030303030304,0.17916666666666667,0.06666666666666667,0.06808510638297872,0.1377,64
lucasheriques,39.0,36.0,117.0,34.0,0.0,1.0,0.18478260869565216,0.16744186046511628,0.030303030303030304,0.1625,0.0,0.12446808510638298,0.1353,65
andehen,40.0,40.0,42.0,35.0,0.0,0.0,0.19021739130434784,0.18604651162790697,0.0,0.16666666666666666,0.0,0.04468085106382979,0.1324,66
orian,41.0,40.0,45.0,33.0,0.0,0.0,0.1793478260869565,0.18604651162790697,0.0,0.17083333333333334,0.0,0.047872340425531915,0.1281,67
nickbest-ph,39.0,42.0,30.0,32.0,0.0,0.0,0.17391304347826086,0.19534883720930232,0.0,0.1625,0.0,0.031914893617021274,0.1254,68
mp-hog,37.0,34.0,78.0,33.0,0.0,0.0,0.1793478260869565,0.15813953488372093,0.0,0.15416666666666667,0.0,0.08297872340425531,0.124,69
kyleswank,1.0,1.0,9.0,0.0,31.0,11.0,0.0,0.004651162790697674,0.3333333333333333,0.004166666666666667,0.6888888888888889,0.009574468085106383,0.1205,70
slshults,4.0,4.0,19.0,3.0,25.0,10.0,0.016304347826086956,0.018604651162790697,0.30303030303030304,0.016666666666666666,0.5555555555555556,0.02021276595744681,0.1138,71
dustinbyrne,24.0,21.0,24.0,19.0,6.0,4.0,0.10326086956521739,0.09767441860465116,0.12121212121212122,0.1,0.13333333333333333,0.02553191489361702,0.1039,72
pawel-cebula,28.0,29.0,61.0,28.0,0.0,0.0,0.15217391304347827,0.13488372093023257,0.0,0.11666666666666667,0.0,0.06489361702127659,0.1036,73
anirudhpillai,33.0,31.0,89.0,25.0,1.0,0.0,0.1358695652173913,0.14418604651162792,0.0,0.1375,0.022222222222222223,0.09468085106382979,0.1035,74
sortafreel,31.0,31.0,46.0,27.0,0.0,0.0,0.14673913043478262,0.14418604651162792,0.0,0.12916666666666668,0.0,0.04893617021276596,0.103,75
darkopia,30.0,23.0,62.0,12.0,12.0,3.0,0.06521739130434782,0.10697674418604651,0.09090909090909091,0.125,0.26666666666666666,0.06595744680851064,0.1015,76
estefaniarabadan,29.0,29.0,34.0,26.0,0.0,0.0,0.14130434782608695,0.13488372093023257,0.0,0.12083333333333333,0.0,0.036170212765957444,0.0977,77
christiaan-ph,17.0,13.0,30.0,8.0,22.0,2.0,0.043478260869565216,0.06046511627906977,0.06060606060606061,0.07083333333333333,0.4888888888888889,0.031914893617021274,0.0953,78
MarconLP,21.0,18.0,74.0,15.0,0.0,6.0,0.08152173913043478,0.08372093023255814,0.18181818181818182,0.0875,0.0,0.07872340425531915,0.0892,79
aspicer,26.0,26.0,73.0,19.0,1.0,1.0,0.10326086956521739,0.12093023255813953,0.030303030303030304,0.10833333333333334,0.022222222222222223,0.07765957446808511,0.0861,80
EDsCODE,21.0,29.0,46.0,19.0,1.0,0.0,0.10326086956521739,0.13488372093023257,0.0,0.0875,0.022222222222222223,0.04893617021276596,0.0801,81
fercgomes,32.0,24.0,64.0,9.0,6.0,1.0,0.04891304347826087,0.11162790697674418,0.030303030303030304,0.13333333333333333,0.13333333333333333,0.06808510638297872,0.0734,82
Daesgar,20.0,20.0,20.0,18.0,0.0,0.0,0.09782608695652174,0.09302325581395349,0.0,0.08333333333333333,0.0,0.02127659574468085,0.0674,83
georgemunyoro,20.0,18.0,94.0,15.0,0.0,0.0,0.08152173913043478,0.08372093023255814,0.0,0.08333333333333333,0.0,0.1,0.0626,84
abhischekt,23.0,22.0,36.0,14.0,0.0,0.0,0.07608695652173914,0.10232558139534884,0.0,0.09583333333333334,0.0,0.03829787234042553,0.0611,85
daibhin,16.0,19.0,32.0,14.0,0.0,1.0,0.07608695652173914,0.08837209302325581,0.030303030303030304,0.06666666666666667,0.0,0.03404255319148936,0.0604,86
HaynesPostHog,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.2727272727272727,0.0,0.17777777777777778,0.0,0.0587,87
lmenezes,16.0,15.0,12.0,14.0,0.0,0.0,0.07608695652173914,0.06976744186046512,0.0,0.06666666666666667,0.0,0.01276595744680851,0.052,88
richardsolomou,15.0,14.0,53.0,13.0,0.0,0.0,0.07065217391304347,0.06511627906976744,0.0,0.0625,0.0,0.05638297872340425,0.0506,89
timgl,16.0,18.0,45.0,10.0,0.0,1.0,0.05434782608695652,0.08372093023255814,0.030303030303030304,0.06666666666666667,0.0,0.047872340425531915,0.0506,90
corywatilo,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.05,91
matheus-vb,15.0,13.0,13.0,11.0,3.0,0.0,0.059782608695652176,0.06046511627906977,0.0,0.0625,0.06666666666666667,0.013829787234042552,0.0496,92
lshaowei18,17.0,20.0,78.0,7.0,1.0,1.0,0.03804347826086957,0.09302325581395349,0.030303030303030304,0.07083333333333333,0.022222222222222223,0.08297872340425531,0.0491,93
abheek9,2.0,2.0,2.0,2.0,12.0,3.0,0.010869565217391304,0.009302325581395349,0.09090909090909091,0.008333333333333333,0.26666666666666666,0.002127659574468085,0.0475,94
bciaraldi,14.0,14.0,18.0,12.0,0.0,0.0,0.06521739130434782,0.06511627906976744,0.0,0.058333333333333334,0.0,0.019148936170212766,0.0459,95
